#separator:Tab
#html:true
#columns:ID	Front	Back	Explanation	Tags
#tags column:5
"clf-c02-2026-08-28-014"	"What is the core difference between Amazon SQS and Amazon SNS?"	"SQS stores messages in a queue for consumers to poll and process; SNS pushes each publication to subscribed endpoints."	"SQS supports decoupled work queues, while SNS supports publish/subscribe fan-out.<br><strong>Example:</strong> An order is placed in SQS for one worker to process, while an SNS topic sends the order notification to email, Lambda, and another queue."	"CLF-C02 Cloud Technology and Services day::2026-08-28 chat::2026-08-28_-_Chat_1_—_Cloud_Foundations_&_IaC type::comparison topic::Messaging topic::Decoupling"
"clf-c02-2026-08-28-015"	"An order-processing service must absorb traffic spikes and let workers process jobs independently. Which service is the best fit?"	"Amazon SQS. It buffers each job in a queue until a worker is ready to process it."	"A queue buffers work and decouples producers from consumers so each side can scale independently.<br><strong>Example:</strong> An online store places each order in a queue, and available workers process the orders at their own pace."	"CLF-C02 Cloud Technology and Services day::2026-08-28 chat::2026-08-28_-_Chat_1_—_Cloud_Foundations_&_IaC type::scenario topic::Messaging topic::Asynchronous_processing"
"clf-c02-2026-08-28-016"	"One alarm must notify email recipients, a Lambda function, and an SQS queue at the same time. Which service fits?"	"Amazon SNS. It publishes one message to multiple subscribed destinations."	"An SNS topic can fan one publication out to multiple subscribed endpoints.<br><strong>Example:</strong> One CloudWatch alarm publishes to an SNS topic whose subscribers include an email address, a Lambda function, and an SQS queue."	"CLF-C02 Cloud Technology and Services day::2026-08-28 chat::2026-08-28_-_Chat_2_—_IAM,_CloudFront_&_Monitoring type::scenario topic::Messaging topic::Fan-out"
"clf-c02-2026-08-28-017"	"What does Amazon EC2 provide?"	"Resizable virtual compute instances in AWS."	"EC2 gives customers control of the guest operating system and application stack on virtual machines.<br><strong>Example:</strong> A team launches a Linux EC2 instance, selects its CPU and memory size, and installs its own web application."	"CLF-C02 Cloud Technology and Services day::2026-08-28 chat::2026-08-28_-_Chat_1_—_Cloud_Foundations_&_IaC type::recall topic::Compute topic::Virtual_machines"
"clf-c02-2026-08-28-018"	"A team needs MySQL but wants AWS to manage the underlying database infrastructure and routine platform operations. Which service should it evaluate?"	"Amazon RDS. It runs familiar relational database engines while AWS handles much of the infrastructure work."	"RDS is a managed relational database service; the customer still owns data, access, schemas, and configuration choices.<br><strong>Example:</strong> A company runs PostgreSQL on RDS so AWS handles backups and database infrastructure while the team manages its schema and data."	"CLF-C02 Cloud Technology and Services day::2026-08-28 chat::2026-08-28_-_Chat_1_—_Cloud_Foundations_&_IaC type::scenario topic::Databases topic::Managed_services"
"clf-c02-2026-08-28-019"	"What does Infrastructure as a Service provide, and what major control remains with the customer?"	"It provides virtualized infrastructure; the customer retains control of the guest operating system, applications, data, and many configurations."	"IaaS removes physical-hardware ownership without removing workload administration.<br><strong>Example:</strong> AWS supplies the EC2 hardware and virtualization, while the customer patches the guest OS and manages the application."	"CLF-C02 Cloud Concepts day::2026-08-28 chat::2026-08-28_-_Chat_1_—_Cloud_Foundations_&_IaC type::recall topic::Service_models topic::IaaS"
"clf-c02-2026-08-28-020"	"How are the AWS Management Console, CLI, SDKs, and IaC tools related to AWS service APIs?"	"They are different interfaces that ultimately invoke AWS service APIs."	"“Single unified API” is only a mental model; it is not the name of one AWS product or one literal endpoint.<br><strong>Example:</strong> Creating a bucket through the console or CLI ultimately results in a request to the S3 service API."	"CLF-C02 Cloud Concepts day::2026-08-28 chat::2026-08-28_-_Chat_1_—_Cloud_Foundations_&_IaC type::recall topic::APIs topic::Cloud_management"
"clf-c02-2026-08-28-021"	"What benefits does Infrastructure as Code provide?"	"Repeatable, version-controlled, reviewable, and automated infrastructure provisioning."	"Machine-readable definitions reduce manual configuration drift and support consistent environments.<br><strong>Example:</strong> A version-controlled template creates the same network in development and production instead of relying on manual clicks."	"CLF-C02 Cloud Concepts day::2026-08-28 chat::2026-08-28_-_Chat_1_—_Cloud_Foundations_&_IaC type::recall topic::Infrastructure_as_Code topic::Automation"
"clf-c02-2026-08-28-022"	"Why is Terraform better described as an orchestrator than as an application compiler?"	"It builds a plan and calls provider APIs to reach a desired infrastructure state; it does not produce an application binary."	"Terraform reads HCL and coordinates resource changes through provider APIs.<br><strong>Example:</strong> Terraform compares configuration with current infrastructure, creates a plan, and calls provider APIs; it never compiles the web application itself."	"CLF-C02 Cloud Concepts day::2026-08-28 chat::2026-08-28_-_Chat_1_—_Cloud_Foundations_&_IaC type::comparison topic::Infrastructure_as_Code topic::Terraform"
"clf-c02-2026-08-28-023"	"Complete the relationship: An AWS Region contains multiple isolated ________."	"Availability Zones."	"Regions are separate geographic areas, and multi-AZ design provides isolation within a Region.<br><strong>Example:</strong> A workload runs in two AZs in the same Region so one data-center failure does not stop the service."	"CLF-C02 Cloud Concepts day::2026-08-28 chat::2026-08-28_-_Chat_3_—_Global_Infrastructure_&_VPC type::cloze topic::Global_infrastructure topic::Regions"
